"RecordNo";"Q5";"Q6";"Index1";"Index2";"Index3";"Index4";"Index5";"Index6";"Index7";"Index8";"Index9";"Index10";"Index11";"Index12";"Index13";"Index14";"Index15";"Index16";"Index17";"Index18";"Index19";"Index20"
1540;104;104;;;;;;;;;;;;;;;;;;;;
1543;102;102;;;;;;;;;;;;;;;;;;;;
1545;104;104;;;;;;;;;;;;;;;;;;;;
1546;104;102;;;;;;;;;;;;;;;;;;;;
1548;104;105;;;;;;;;;;;;;;;;;;;;
1562;103;104;;;;;;;;;;;;;;;;;;;;
1567;104;104;;;;;;;;;;;;;;;;;;;;
1575;104;101;;;;;;;;;;;;;;;;;;;;
1578;104;104;;;;;;;;;;;;;;;;;;;;
1581;104;104;;;;;;;;;;;;;;;;;;;;
1583;104;102;;;;;;;;;;;;;;;;;;;;
1588;104;103;;;;;;;;;;;;;;;;;;;;
1589;104;104;;;;;;;;;;;;;;;;;;;;
1591;104;104;;;;;;;;;;;;;;;;;;;;
1593;104;103;;;;;;;;;;;;;;;;;;;;
1594;104;101;;;;;;;;;;;;;;;;;;;;
1599;104;105;;;;;;;;;;;;;;;;;;;;
1604;104;103;;;;;;;;;;;;;;;;;;;;
1605;104;103;;;;;;;;;;;;;;;;;;;;
1612;104;102;;;;;;;;;;;;;;;;;;;;
1615;104;104;;;;;;;;;;;;;;;;;;;;
1626;104;104;;;;;;;;;;;;;;;;;;;;
1629;104;102;;;;;;;;;;;;;;;;;;;;
1633;104;104;;;;;;;;;;;;;;;;;;;;
1634;104;103;;;;;;;;;;;;;;;;;;;;
1638;104;104;;;;;;;;;;;;;;;;;;;;
1642;104;103;;;;;;;;;;;;;;;;;;;;
1649;104;104;;;;;;;;;;;;;;;;;;;;
1651;104;103;;;;;;;;;;;;;;;;;;;;
1653;103;104;;;;;;;;;;;;;;;;;;;;
1654;104;104;;;;;;;;;;;;;;;;;;;;
1655;101;104;;;;;;;;;;;;;;;;;;;;
1660;104;104;;;;;;;;;;;;;;;;;;;;
1664;104;104;;;;;;;;;;;;;;;;;;;;
