;RecordNo;Wojew�dztwo;RQ2;company;recomendation;recomendations;detrac;neutral;promo;total
621;1218;kujawsko-pomorskie;25-50;Weyland-Yutani;9;promoters;0;0;1;1
622;1221;kujawsko-pomorskie;>25;Weyland-Yutani;3;detractors;1;0;0;1
623;1223;kujawsko-pomorskie;100-250;Weyland-Yutani;4;detractors;1;0;0;1
624;1230;kujawsko-pomorskie;>25;Weyland-Yutani;6;detractors;1;0;0;1
625;1233;kujawsko-pomorskie;250+;Weyland-Yutani;7;neutral;0;1;0;1
626;1234;kujawsko-pomorskie;100-250;Weyland-Yutani;7;neutral;0;1;0;1
627;1236;kujawsko-pomorskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
628;1241;kujawsko-pomorskie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
629;1242;kujawsko-pomorskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
630;1251;kujawsko-pomorskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
631;1253;kujawsko-pomorskie;>25;Weyland-Yutani;6;detractors;1;0;0;1
632;1256;lubelskie;100-250;Weyland-Yutani;7;neutral;0;1;0;1
633;1261;lubelskie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
634;1271;lubelskie;>25;Weyland-Yutani;7;neutral;0;1;0;1
635;1272;lubelskie;25-50;Weyland-Yutani;5;detractors;1;0;0;1
636;1279;lubelskie;250+;Weyland-Yutani;3;detractors;1;0;0;1
637;1280;lubelskie;51-100;Weyland-Yutani;6;detractors;1;0;0;1
638;1282;lubelskie;250+;Weyland-Yutani;5;detractors;1;0;0;1
639;1286;lubelskie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
640;1287;lubelskie;100-250;Weyland-Yutani;4;detractors;1;0;0;1
641;1288;lubelskie;>25;Weyland-Yutani;2;detractors;1;0;0;1
642;1291;lubelskie;250+;Weyland-Yutani;1;detractors;1;0;0;1
643;1292;lubelskie;100-250;Weyland-Yutani;10;promoters;0;0;1;1
644;1293;lubelskie;250+;Weyland-Yutani;6;detractors;1;0;0;1
645;1294;lubuskie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
646;1295;lubuskie;100-250;Weyland-Yutani;2;detractors;1;0;0;1
647;1301;lubuskie;250+;Weyland-Yutani;1;detractors;1;0;0;1
648;1304;lubuskie;25-50;Weyland-Yutani;9;promoters;0;0;1;1
649;1311;lubuskie;100-250;Weyland-Yutani;2;detractors;1;0;0;1
650;1316;lubuskie;100-250;Weyland-Yutani;4;detractors;1;0;0;1
651;1319;lubuskie;100-250;Weyland-Yutani;7;neutral;0;1;0;1
652;1322;lubuskie;51-100;Weyland-Yutani;4;detractors;1;0;0;1
653;1323;lubuskie;100-250;Weyland-Yutani;9;promoters;0;0;1;1
654;1327;lubuskie;25-50;Weyland-Yutani;6;detractors;1;0;0;1
655;1329;lubuskie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
656;1336;lubuskie;>25;Weyland-Yutani;1;detractors;1;0;0;1
657;1339;lubuskie;>25;Weyland-Yutani;2;detractors;1;0;0;1
658;1342;lubuskie;>25;Weyland-Yutani;7;neutral;0;1;0;1
659;1344;lubuskie;250+;Weyland-Yutani;6;detractors;1;0;0;1
660;1356;lubuskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
661;1357;lubuskie;51-100;Weyland-Yutani;7;neutral;0;1;0;1
662;1358;łódzkie;100-250;Weyland-Yutani;9;promoters;0;0;1;1
663;1360;łódzkie;250+;Weyland-Yutani;7;neutral;0;1;0;1
664;1364;łódzkie;51-100;Weyland-Yutani;5;detractors;1;0;0;1
665;1368;łódzkie;>25;Weyland-Yutani;7;neutral;0;1;0;1
666;1371;łódzkie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
667;1375;łódzkie;>25;Weyland-Yutani;3;detractors;1;0;0;1
668;1377;łódzkie;>25;Weyland-Yutani;0;detractors;1;0;0;1
669;1382;łódzkie;>25;Weyland-Yutani;10;promoters;0;0;1;1
670;1387;małopolskie;>25;Weyland-Yutani;3;detractors;1;0;0;1
671;1388;małopolskie;51-100;Weyland-Yutani;2;detractors;1;0;0;1
672;1393;małopolskie;>25;Weyland-Yutani;0;detractors;1;0;0;1
673;1397;małopolskie;250+;Weyland-Yutani;9;promoters;0;0;1;1
674;1399;małopolskie;100-250;Weyland-Yutani;6;detractors;1;0;0;1
675;1403;małopolskie;250+;Weyland-Yutani;0;detractors;1;0;0;1
676;1404;małopolskie;>25;Weyland-Yutani;1;detractors;1;0;0;1
677;1406;mazowieckie;250+;Weyland-Yutani;4;detractors;1;0;0;1
678;1410;mazowieckie;>25;Weyland-Yutani;5;detractors;1;0;0;1
679;1412;mazowieckie;250+;Weyland-Yutani;5;detractors;1;0;0;1
680;1413;mazowieckie;100-250;Weyland-Yutani;4;detractors;1;0;0;1
681;1415;mazowieckie;51-100;Weyland-Yutani;10;promoters;0;0;1;1
682;1419;mazowieckie;>25;Weyland-Yutani;1;detractors;1;0;0;1
683;1424;mazowieckie;250+;Weyland-Yutani;8;neutral;0;1;0;1
684;1430;mazowieckie;250+;Weyland-Yutani;1;detractors;1;0;0;1
685;1438;mazowieckie;100-250;Weyland-Yutani;2;detractors;1;0;0;1
686;1439;mazowieckie;25-50;Weyland-Yutani;9;promoters;0;0;1;1
687;1440;mazowieckie;100-250;Weyland-Yutani;8;neutral;0;1;0;1
688;1442;mazowieckie;250+;Weyland-Yutani;7;neutral;0;1;0;1
689;1450;mazowieckie;>25;Weyland-Yutani;4;detractors;1;0;0;1
690;1451;mazowieckie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
691;1458;mazowieckie;250+;Weyland-Yutani;6;detractors;1;0;0;1
692;1462;mazowieckie;>25;Weyland-Yutani;8;neutral;0;1;0;1
693;1469;mazowieckie;>25;Weyland-Yutani;6;detractors;1;0;0;1
694;1475;mazowieckie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
695;1476;mazowieckie;250+;Weyland-Yutani;3;detractors;1;0;0;1
696;1477;mazowieckie;>25;Weyland-Yutani;5;detractors;1;0;0;1
697;1485;mazowieckie;25-50;Weyland-Yutani;9;promoters;0;0;1;1
698;1486;mazowieckie;250+;Weyland-Yutani;3;detractors;1;0;0;1
699;1488;mazowieckie;100-250;Weyland-Yutani;5;detractors;1;0;0;1
700;1490;mazowieckie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
701;1491;opolskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
702;1501;opolskie;100-250;Weyland-Yutani;6;detractors;1;0;0;1
703;1503;opolskie;51-100;Weyland-Yutani;4;detractors;1;0;0;1
704;1504;opolskie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
705;1508;opolskie;100-250;Weyland-Yutani;9;promoters;0;0;1;1
706;1514;opolskie;25-50;Weyland-Yutani;4;detractors;1;0;0;1
707;1525;opolskie;25-50;Weyland-Yutani;3;detractors;1;0;0;1
708;1529;opolskie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
709;1531;opolskie;100-250;Weyland-Yutani;6;detractors;1;0;0;1
710;1540;opolskie;250+;Weyland-Yutani;9;promoters;0;0;1;1
711;1543;podkarpackie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
712;1545;podkarpackie;>25;Weyland-Yutani;9;promoters;0;0;1;1
713;1546;podkarpackie;25-50;Weyland-Yutani;7;neutral;0;1;0;1
714;1548;podkarpackie;100-250;Weyland-Yutani;6;detractors;1;0;0;1
715;1562;podkarpackie;>25;Weyland-Yutani;5;detractors;1;0;0;1
716;1567;podkarpackie;>25;Weyland-Yutani;5;detractors;1;0;0;1
717;1575;podkarpackie;250+;Weyland-Yutani;3;detractors;1;0;0;1
718;1578;podkarpackie;250+;Weyland-Yutani;2;detractors;1;0;0;1
719;1581;podkarpackie;100-250;Weyland-Yutani;9;promoters;0;0;1;1
720;1583;podkarpackie;51-100;Weyland-Yutani;4;detractors;1;0;0;1
721;1588;podlaskie;>25;Weyland-Yutani;2;detractors;1;0;0;1
722;1589;podlaskie;51-100;Weyland-Yutani;6;detractors;1;0;0;1
723;1591;podlaskie;51-100;Weyland-Yutani;9;promoters;0;0;1;1
724;1593;podlaskie;51-100;Weyland-Yutani;6;detractors;1;0;0;1
725;1594;podlaskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
726;1599;podlaskie;250+;Weyland-Yutani;9;promoters;0;0;1;1
727;1604;podlaskie;51-100;Weyland-Yutani;7;neutral;0;1;0;1
728;1605;podlaskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
729;1612;podlaskie;51-100;Weyland-Yutani;1;detractors;1;0;0;1
730;1615;podlaskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
731;1626;podlaskie;25-50;Weyland-Yutani;7;neutral;0;1;0;1
732;1629;podlaskie;250+;Weyland-Yutani;3;detractors;1;0;0;1
733;1633;podlaskie;>25;Weyland-Yutani;6;detractors;1;0;0;1
734;1634;pomorskie;>25;Weyland-Yutani;8;neutral;0;1;0;1
735;1638;pomorskie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
736;1642;pomorskie;>25;Weyland-Yutani;8;neutral;0;1;0;1
737;1649;pomorskie;51-100;Weyland-Yutani;1;detractors;1;0;0;1
738;1651;pomorskie;>25;Weyland-Yutani;8;neutral;0;1;0;1
739;1653;pomorskie;25-50;Weyland-Yutani;6;detractors;1;0;0;1
740;1654;pomorskie;100-250;Weyland-Yutani;6;detractors;1;0;0;1
741;1655;pomorskie;>25;Weyland-Yutani;3;detractors;1;0;0;1
742;1660;śląskie;51-100;Weyland-Yutani;10;promoters;0;0;1;1
743;1664;śląskie;25-50;Weyland-Yutani;0;detractors;1;0;0;1
744;1665;śląskie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
745;1666;śląskie;25-50;Weyland-Yutani;7;neutral;0;1;0;1
746;1672;świętokrzyskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
747;1674;świętokrzyskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
748;1686;świętokrzyskie;51-100;Weyland-Yutani;2;detractors;1;0;0;1
749;1692;świętokrzyskie;51-100;Weyland-Yutani;8;neutral;0;1;0;1
750;1694;świętokrzyskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
751;1697;warmińsko-mazurskie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
752;1705;warmińsko-mazurskie;25-50;Weyland-Yutani;5;detractors;1;0;0;1
753;1710;warmińsko-mazurskie;51-100;Weyland-Yutani;2;detractors;1;0;0;1
754;1712;warmińsko-mazurskie;>25;Weyland-Yutani;5;detractors;1;0;0;1
755;1716;warmińsko-mazurskie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
756;1717;warmińsko-mazurskie;51-100;Weyland-Yutani;10;promoters;0;0;1;1
757;1718;wielkopolskie;>25;Weyland-Yutani;6;detractors;1;0;0;1
758;1719;wielkopolskie;250+;Weyland-Yutani;3;detractors;1;0;0;1
759;1724;wielkopolskie;250+;Weyland-Yutani;6;detractors;1;0;0;1
760;1725;wielkopolskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
761;1729;wielkopolskie;250+;Weyland-Yutani;6;detractors;1;0;0;1
762;1733;wielkopolskie;25-50;Weyland-Yutani;6;detractors;1;0;0;1
763;1734;wielkopolskie;250+;Weyland-Yutani;7;neutral;0;1;0;1
764;1739;wielkopolskie;51-100;Weyland-Yutani;0;detractors;1;0;0;1
765;1740;wielkopolskie;100-250;Weyland-Yutani;1;detractors;1;0;0;1
766;1746;wielkopolskie;100-250;Weyland-Yutani;10;promoters;0;0;1;1
767;1749;wielkopolskie;250+;Weyland-Yutani;4;detractors;1;0;0;1
768;1752;wielkopolskie;250+;Weyland-Yutani;5;detractors;1;0;0;1
769;1754;wielkopolskie;51-100;Weyland-Yutani;10;promoters;0;0;1;1
770;1763;wielkopolskie;250+;Weyland-Yutani;1;detractors;1;0;0;1
771;1767;wielkopolskie;100-250;Weyland-Yutani;8;neutral;0;1;0;1
772;1771;wielkopolskie;51-100;Weyland-Yutani;7;neutral;0;1;0;1
773;1777;wielkopolskie;250+;Weyland-Yutani;6;detractors;1;0;0;1
774;1783;wielkopolskie;>25;Weyland-Yutani;0;detractors;1;0;0;1
775;1792;wielkopolskie;250+;Weyland-Yutani;7;neutral;0;1;0;1
776;1799;wielkopolskie;>25;Weyland-Yutani;7;neutral;0;1;0;1
777;1800;wielkopolskie;>25;Weyland-Yutani;3;detractors;1;0;0;1
778;1824;wielkopolskie;100-250;Weyland-Yutani;9;promoters;0;0;1;1
779;1828;wielkopolskie;100-250;Weyland-Yutani;2;detractors;1;0;0;1
780;1838;wielkopolskie;100-250;Weyland-Yutani;7;neutral;0;1;0;1
781;1846;wielkopolskie;51-100;Weyland-Yutani;7;neutral;0;1;0;1
782;1851;wielkopolskie;250+;Weyland-Yutani;3;detractors;1;0;0;1
783;1860;wielkopolskie;>25;Weyland-Yutani;7;neutral;0;1;0;1
784;1863;wielkopolskie;>25;Weyland-Yutani;2;detractors;1;0;0;1
785;1866;wielkopolskie;>25;Weyland-Yutani;5;detractors;1;0;0;1
786;1869;wielkopolskie;100-250;Weyland-Yutani;10;promoters;0;0;1;1
787;1870;wielkopolskie;100-250;Weyland-Yutani;3;detractors;1;0;0;1
788;1873;wielkopolskie;25-50;Weyland-Yutani;6;detractors;1;0;0;1
789;1909;wielkopolskie;100-250;Weyland-Yutani;4;detractors;1;0;0;1
790;1924;wielkopolskie;51-100;Weyland-Yutani;1;detractors;1;0;0;1
791;1928;wielkopolskie;25-50;Weyland-Yutani;6;detractors;1;0;0;1
792;1938;zachodniopomorskie);51-100;Weyland-Yutani;5;detractors;1;0;0;1
793;1945;zachodniopomorskie);>25;Weyland-Yutani;2;detractors;1;0;0;1
794;1958;zachodniopomorskie);>25;Weyland-Yutani;8;neutral;0;1;0;1
795;1959;zachodniopomorskie);250+;Weyland-Yutani;4;detractors;1;0;0;1
796;1135;dolnośląskie;100-250;Tyrell Corporation;5;detractors;1;0;0;1
797;1136;dolnośląskie;100-250;Tyrell Corporation;2;detractors;1;0;0;1
798;1137;dolnośląskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
799;1141;dolnośląskie;>25;Tyrell Corporation;6;detractors;1;0;0;1
800;1143;dolnośląskie;100-250;Tyrell Corporation;8;neutral;0;1;0;1
801;1145;dolnośląskie;51-100;Tyrell Corporation;2;detractors;1;0;0;1
802;1150;dolnośląskie;25-50;Tyrell Corporation;5;detractors;1;0;0;1
803;1151;dolnośląskie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
804;1154;dolnośląskie;100-250;Tyrell Corporation;6;detractors;1;0;0;1
805;1159;dolnośląskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
806;1160;dolnośląskie;100-250;Tyrell Corporation;10;promoters;0;0;1;1
807;1167;dolnośląskie;>25;Tyrell Corporation;9;promoters;0;0;1;1
808;1168;dolnośląskie;>25;Tyrell Corporation;10;promoters;0;0;1;1
809;1169;dolnośląskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
810;1173;kujawsko-pomorskie;>25;Tyrell Corporation;7;neutral;0;1;0;1
811;1174;kujawsko-pomorskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
812;1176;kujawsko-pomorskie;25-50;Tyrell Corporation;10;promoters;0;0;1;1
813;1177;kujawsko-pomorskie;>25;Tyrell Corporation;7;neutral;0;1;0;1
814;1178;kujawsko-pomorskie;25-50;Tyrell Corporation;9;promoters;0;0;1;1
815;1183;kujawsko-pomorskie;>25;Tyrell Corporation;3;detractors;1;0;0;1
816;1187;kujawsko-pomorskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
817;1191;kujawsko-pomorskie;>25;Tyrell Corporation;1;detractors;1;0;0;1
818;1200;kujawsko-pomorskie;25-50;Tyrell Corporation;3;detractors;1;0;0;1
819;1202;kujawsko-pomorskie;250+;Tyrell Corporation;8;neutral;0;1;0;1
820;1203;kujawsko-pomorskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
821;1218;kujawsko-pomorskie;25-50;Tyrell Corporation;7;neutral;0;1;0;1
822;1221;kujawsko-pomorskie;>25;Tyrell Corporation;7;neutral;0;1;0;1
823;1223;kujawsko-pomorskie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
824;1230;kujawsko-pomorskie;>25;Tyrell Corporation;3;detractors;1;0;0;1
825;1233;kujawsko-pomorskie;250+;Tyrell Corporation;6;detractors;1;0;0;1
826;1234;kujawsko-pomorskie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
827;1236;kujawsko-pomorskie;51-100;Tyrell Corporation;10;promoters;0;0;1;1
828;1241;kujawsko-pomorskie;100-250;Tyrell Corporation;3;detractors;1;0;0;1
829;1242;kujawsko-pomorskie;250+;Tyrell Corporation;8;neutral;0;1;0;1
830;1251;kujawsko-pomorskie;250+;Tyrell Corporation;6;detractors;1;0;0;1
831;1253;kujawsko-pomorskie;>25;Tyrell Corporation;2;detractors;1;0;0;1
832;1256;lubelskie;100-250;Tyrell Corporation;2;detractors;1;0;0;1
833;1261;lubelskie;25-50;Tyrell Corporation;9;promoters;0;0;1;1
834;1271;lubelskie;>25;Tyrell Corporation;6;detractors;1;0;0;1
835;1272;lubelskie;25-50;Tyrell Corporation;9;promoters;0;0;1;1
836;1279;lubelskie;250+;Tyrell Corporation;5;detractors;1;0;0;1
837;1280;lubelskie;51-100;Tyrell Corporation;9;promoters;0;0;1;1
838;1282;lubelskie;250+;Tyrell Corporation;8;neutral;0;1;0;1
839;1286;lubelskie;25-50;Tyrell Corporation;9;promoters;0;0;1;1
840;1287;lubelskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
841;1288;lubelskie;>25;Tyrell Corporation;6;detractors;1;0;0;1
842;1291;lubelskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
843;1292;lubelskie;100-250;Tyrell Corporation;7;neutral;0;1;0;1
844;1293;lubelskie;250+;Tyrell Corporation;6;detractors;1;0;0;1
845;1294;lubuskie;25-50;Tyrell Corporation;7;neutral;0;1;0;1
846;1295;lubuskie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
847;1301;lubuskie;250+;Tyrell Corporation;4;detractors;1;0;0;1
848;1304;lubuskie;25-50;Tyrell Corporation;2;detractors;1;0;0;1
849;1311;lubuskie;100-250;Tyrell Corporation;7;neutral;0;1;0;1
850;1316;lubuskie;100-250;Tyrell Corporation;10;promoters;0;0;1;1
851;1319;lubuskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
852;1322;lubuskie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
853;1323;lubuskie;100-250;Tyrell Corporation;6;detractors;1;0;0;1
854;1327;lubuskie;25-50;Tyrell Corporation;8;neutral;0;1;0;1
855;1329;lubuskie;25-50;Tyrell Corporation;6;detractors;1;0;0;1
856;1336;lubuskie;>25;Tyrell Corporation;6;detractors;1;0;0;1
857;1339;lubuskie;>25;Tyrell Corporation;3;detractors;1;0;0;1
858;1342;lubuskie;>25;Tyrell Corporation;9;promoters;0;0;1;1
859;1344;lubuskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
860;1356;lubuskie;51-100;Tyrell Corporation;5;detractors;1;0;0;1
861;1357;lubuskie;51-100;Tyrell Corporation;2;detractors;1;0;0;1
862;1358;łódzkie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
863;1360;łódzkie;250+;Tyrell Corporation;2;detractors;1;0;0;1
864;1364;łódzkie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
865;1368;łódzkie;>25;Tyrell Corporation;7;neutral;0;1;0;1
866;1371;łódzkie;25-50;Tyrell Corporation;8;neutral;0;1;0;1
867;1375;łódzkie;>25;Tyrell Corporation;10;promoters;0;0;1;1
868;1377;łódzkie;>25;Tyrell Corporation;5;detractors;1;0;0;1
869;1382;łódzkie;>25;Tyrell Corporation;1;detractors;1;0;0;1
870;1387;małopolskie;>25;Tyrell Corporation;8;neutral;0;1;0;1
871;1388;małopolskie;51-100;Tyrell Corporation;9;promoters;0;0;1;1
872;1393;małopolskie;>25;Tyrell Corporation;3;detractors;1;0;0;1
873;1397;małopolskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
874;1399;małopolskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
875;1403;małopolskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
876;1404;małopolskie;>25;Tyrell Corporation;5;detractors;1;0;0;1
877;1406;mazowieckie;250+;Tyrell Corporation;8;neutral;0;1;0;1
878;1410;mazowieckie;>25;Tyrell Corporation;7;neutral;0;1;0;1
879;1412;mazowieckie;250+;Tyrell Corporation;2;detractors;1;0;0;1
880;1413;mazowieckie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
881;1415;mazowieckie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
882;1419;mazowieckie;>25;Tyrell Corporation;10;promoters;0;0;1;1
883;1424;mazowieckie;250+;Tyrell Corporation;6;detractors;1;0;0;1
884;1430;mazowieckie;250+;Tyrell Corporation;9;promoters;0;0;1;1
885;1438;mazowieckie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
886;1439;mazowieckie;25-50;Tyrell Corporation;8;neutral;0;1;0;1
887;1440;mazowieckie;100-250;Tyrell Corporation;8;neutral;0;1;0;1
888;1442;mazowieckie;250+;Tyrell Corporation;10;promoters;0;0;1;1
889;1450;mazowieckie;>25;Tyrell Corporation;3;detractors;1;0;0;1
890;1451;mazowieckie;51-100;Tyrell Corporation;9;promoters;0;0;1;1
891;1458;mazowieckie;250+;Tyrell Corporation;4;detractors;1;0;0;1
892;1462;mazowieckie;>25;Tyrell Corporation;10;promoters;0;0;1;1
893;1469;mazowieckie;>25;Tyrell Corporation;6;detractors;1;0;0;1
894;1475;mazowieckie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
895;1476;mazowieckie;250+;Tyrell Corporation;1;detractors;1;0;0;1
896;1477;mazowieckie;>25;Tyrell Corporation;0;detractors;1;0;0;1
897;1485;mazowieckie;25-50;Tyrell Corporation;9;promoters;0;0;1;1
898;1486;mazowieckie;250+;Tyrell Corporation;10;promoters;0;0;1;1
899;1488;mazowieckie;100-250;Tyrell Corporation;3;detractors;1;0;0;1
900;1490;mazowieckie;100-250;Tyrell Corporation;8;neutral;0;1;0;1
901;1491;opolskie;51-100;Tyrell Corporation;5;detractors;1;0;0;1
902;1501;opolskie;100-250;Tyrell Corporation;7;neutral;0;1;0;1
903;1503;opolskie;51-100;Tyrell Corporation;2;detractors;1;0;0;1
904;1504;opolskie;100-250;Tyrell Corporation;3;detractors;1;0;0;1
905;1508;opolskie;100-250;Tyrell Corporation;6;detractors;1;0;0;1
906;1514;opolskie;25-50;Tyrell Corporation;6;detractors;1;0;0;1
907;1525;opolskie;25-50;Tyrell Corporation;10;promoters;0;0;1;1
908;1529;opolskie;100-250;Tyrell Corporation;5;detractors;1;0;0;1
909;1531;opolskie;100-250;Tyrell Corporation;6;detractors;1;0;0;1
910;1540;opolskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
911;1543;podkarpackie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
912;1545;podkarpackie;>25;Tyrell Corporation;7;neutral;0;1;0;1
913;1546;podkarpackie;25-50;Tyrell Corporation;10;promoters;0;0;1;1
914;1548;podkarpackie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
915;1562;podkarpackie;>25;Tyrell Corporation;0;detractors;1;0;0;1
916;1567;podkarpackie;>25;Tyrell Corporation;6;detractors;1;0;0;1
917;1575;podkarpackie;250+;Tyrell Corporation;7;neutral;0;1;0;1
918;1578;podkarpackie;250+;Tyrell Corporation;0;detractors;1;0;0;1
919;1581;podkarpackie;100-250;Tyrell Corporation;10;promoters;0;0;1;1
920;1583;podkarpackie;51-100;Tyrell Corporation;3;detractors;1;0;0;1
921;1588;podlaskie;>25;Tyrell Corporation;9;promoters;0;0;1;1
922;1589;podlaskie;51-100;Tyrell Corporation;6;detractors;1;0;0;1
923;1591;podlaskie;51-100;Tyrell Corporation;1;detractors;1;0;0;1
924;1593;podlaskie;51-100;Tyrell Corporation;0;detractors;1;0;0;1
925;1594;podlaskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
926;1599;podlaskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
927;1604;podlaskie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
928;1605;podlaskie;51-100;Tyrell Corporation;10;promoters;0;0;1;1
929;1612;podlaskie;51-100;Tyrell Corporation;2;detractors;1;0;0;1
930;1615;podlaskie;250+;Tyrell Corporation;5;detractors;1;0;0;1
931;1626;podlaskie;25-50;Tyrell Corporation;8;neutral;0;1;0;1
932;1629;podlaskie;250+;Tyrell Corporation;3;detractors;1;0;0;1
933;1633;podlaskie;>25;Tyrell Corporation;8;neutral;0;1;0;1
934;1634;pomorskie;>25;Tyrell Corporation;8;neutral;0;1;0;1
935;1638;pomorskie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
936;1642;pomorskie;>25;Tyrell Corporation;7;neutral;0;1;0;1
937;1649;pomorskie;51-100;Tyrell Corporation;7;neutral;0;1;0;1
938;1651;pomorskie;>25;Tyrell Corporation;6;detractors;1;0;0;1
939;1653;pomorskie;25-50;Tyrell Corporation;8;neutral;0;1;0;1
940;1654;pomorskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
941;1655;pomorskie;>25;Tyrell Corporation;10;promoters;0;0;1;1
942;1660;śląskie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
943;1664;śląskie;25-50;Tyrell Corporation;4;detractors;1;0;0;1
944;1665;śląskie;100-250;Tyrell Corporation;5;detractors;1;0;0;1
945;1666;śląskie;25-50;Tyrell Corporation;3;detractors;1;0;0;1
946;1672;świętokrzyskie;250+;Tyrell Corporation;8;neutral;0;1;0;1
947;1674;świętokrzyskie;51-100;Tyrell Corporation;1;detractors;1;0;0;1
948;1686;świętokrzyskie;51-100;Tyrell Corporation;1;detractors;1;0;0;1
949;1692;świętokrzyskie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
950;1694;świętokrzyskie;250+;Tyrell Corporation;2;detractors;1;0;0;1
951;1697;warmińsko-mazurskie;100-250;Tyrell Corporation;1;detractors;1;0;0;1
952;1705;warmińsko-mazurskie;25-50;Tyrell Corporation;6;detractors;1;0;0;1
953;1710;warmińsko-mazurskie;51-100;Tyrell Corporation;9;promoters;0;0;1;1
954;1712;warmińsko-mazurskie;>25;Tyrell Corporation;8;neutral;0;1;0;1
955;1716;warmińsko-mazurskie;100-250;Tyrell Corporation;9;promoters;0;0;1;1
956;1717;warmińsko-mazurskie;51-100;Tyrell Corporation;6;detractors;1;0;0;1
957;1718;wielkopolskie;>25;Tyrell Corporation;9;promoters;0;0;1;1
958;1719;wielkopolskie;250+;Tyrell Corporation;4;detractors;1;0;0;1
959;1724;wielkopolskie;250+;Tyrell Corporation;10;promoters;0;0;1;1
960;1725;wielkopolskie;250+;Tyrell Corporation;9;promoters;0;0;1;1
961;1729;wielkopolskie;250+;Tyrell Corporation;7;neutral;0;1;0;1
962;1733;wielkopolskie;25-50;Tyrell Corporation;1;detractors;1;0;0;1
963;1734;wielkopolskie;250+;Tyrell Corporation;6;detractors;1;0;0;1
964;1739;wielkopolskie;51-100;Tyrell Corporation;7;neutral;0;1;0;1
965;1740;wielkopolskie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
966;1746;wielkopolskie;100-250;Tyrell Corporation;4;detractors;1;0;0;1
967;1749;wielkopolskie;250+;Tyrell Corporation;2;detractors;1;0;0;1
968;1752;wielkopolskie;250+;Tyrell Corporation;6;detractors;1;0;0;1
969;1754;wielkopolskie;51-100;Tyrell Corporation;4;detractors;1;0;0;1
